taxon,d18Odw,d18Ophos,reference
Equus sp.,-8.5,17.3,Delgado-Huertas et al. 1995
Equus sp.,-6.1,18.2,Delgado-Huertas et al. 1995
Equus sp.,-6.1,18.8,Delgado-Huertas et al. 1995
Equus sp.,-8.5,16.1,Delgado-Huertas et al. 1995
Equus sp.,-6.1,19.2,Delgado-Huertas et al. 1995
Equus sp.,-7.5,16.6,Delgado-Huertas et al. 1995
Equus sp.,-7.2,16.2,Delgado-Huertas et al. 1995
Equus sp.,-13,12.9,Delgado-Huertas et al. 1995
Equus sp.,-10,15,Delgado-Huertas et al. 1995
Equus sp.,-5,17,Delgado-Huertas et al. 1995
Equus sp.,-4.5,18.9,Delgado-Huertas et al. 1995
Equus sp.,-1,20.5,Delgado-Huertas et al. 1995
Equus sp.,2,24.7,Delgado-Huertas et al. 1995
Equus sp.,-4,22.8,Delgado-Huertas et al. 1995
Equus sp.,1.9,25,Delgado-Huertas et al. 1995
Equus sp.,-7.7,20.8,Delgado-Huertas et al. 1995
Equus sp.,-2,21.6,Delgado-Huertas et al. 1995
Equus sp.,1.3,21.1,Delgado-Huertas et al. 1995
Equus sp.,-5,18.9,Delgado-Huertas et al. 1995
Equus sp.,-5,22.1,Delgado-Huertas et al. 1995
Equus sp.,-5.5,15.6,Delgado-Huertas et al. 1995
Equus sp.,-9.8,14.4,Delgado-Huertas et al. 1995
Equus sp.,-15.2,11.8,Delgado-Huertas et al. 1995
